dt,x,y,position,velocity,acceleration,jerk,heading
0.02,25.99848039,105.0000001,0,0.07605,11.8975,391.625,6.283084
0.02,26.00000139,104.9999999,0.001521,0.314,19.73,387.75,6.283084
0.02,26.00628139,104.9999994,0.007801,0.7086,27.485,397.7009616,6.283097
0.02,26.02045339,104.9999986,0.021973,1.2583,35.43901923,390.5980763,6.283129
0.02,26.04561939,104.9999985,0.047139,1.967080385,43.25098076,395.8259612,6.283184
0.02,26.084961,105.0000018,0.086480608,2.8321,51.16749998,391.4999991,0.000086
0.02,26.141603,105.0000137,0.143122608,3.855449999,58.99749996,399.1249982,0.000211
0.02,26.21871199,105.0000429,0.220231608,5.035399999,66.97999993,389.7499974,0.000382
0.02,26.31941997,105.0001035,0.320939608,6.374999997,74.77499988,400.8749953,0.000605
0.02,26.44691992,105.0002163,0.448439608,7.870499995,82.79249978,393.4999935,0.00089
0.02,26.6043298,105.0004109,0.605849607,9.52634999,90.66249965,397.1249902,0.001242
0.02,26.79485654,105.0007281,0.796376607,11.33959998,98.60499946,399.2499856,0.001672
0.02,27.021648,105.0012221,1.023168607,13.31169997,106.5899992,402.6249785,0.002187
0.02,27.28788097,105.0019637,1.289402606,15.44349996,114.6424987,397.2499723,0.002796
0.02,27.59674908,105.0030437,1.598272606,17.73634993,122.5874982,404.7499589,0.003509
0.02,27.95147276,105.0045773,1.952999604,20.18809989,130.6824974,208.9999483,0.004338
0.02,28.35522914,105.0067072,2.356761602,22.80174984,134.8624963,10.99994009,0.005292
0.02,28.8112549,105.0096096,2.812796599,25.49899977,135.0824951,13.37492469,0.006384
0.02,29.32122017,105.0134861,3.322776594,28.20064967,135.3499936,14.74990545,0.007624
0.02,29.88521036,105.0185577,3.886789588,30.90764954,135.6449917,15.24988474,0.009018
0.02,30.50332899,105.0250752,4.504942579,33.62054938,135.9499894,16.74985695,0.010573
0.02,31.17568941,105.0333213,5.177353566,36.33954917,136.2849866,20.62481797,0.012297
0.02,31.90240752,105.0436129,5.904144549,39.0652489,136.6974829,16.99978986,0.014198
0.02,32.68360943,105.0563032,6.685449527,41.79919856,137.0374787,22.24973066,0.016285
0.02,33.51945001,105.0717866,7.521433498,44.53994813,137.4824733,20.87468334,0.018569
0.02,34.41005243,105.090498,8.412232461,47.2895976,137.899967,25.99959663,0.021059
