dt,x,y,position,velocity,acceleration,jerk,heading
0.02,26.00151961,134.9999999,0,0.07605,10.9225,369.125,6.283084
0.02,26.00304061,134.9999998,0.001521,0.2945,18.305,372.75,6.283084
0.02,26.00893061,134.9999993,0.007411,0.6606,25.76,362.7990384,6.283097
0.02,26.02214261,134.9999985,0.020623,1.1758,33.01598077,370.4019237,6.283129
0.02,26.04565861,134.9999985,0.044139,1.836119615,40.42401924,364.6740388,6.283184
0.02,26.082381,135.0000017,0.080861392,2.6446,47.71750002,369.000001,0.000086
0.02,26.135273,135.000013,0.133753392,3.598950001,55.09750004,361.6250019,0.000211
0.02,26.20725199,135.0000407,0.205732392,4.700900001,62.33000008,371.0000027,0.000382
0.02,26.30126998,135.000098,0.299750392,5.947500003,69.75000013,359.625005,0.000605
0.02,26.42021993,135.0002044,0.418700392,7.342500006,76.94250023,367.2500068,0.00089
0.02,26.56706981,135.0003878,0.565550393,8.88135001,84.28750037,363.3750103,0.001242
0.02,26.74469656,135.0006861,0.743177393,10.56710002,91.55500057,361.7500152,0.001672
0.02,26.95603805,135.0011503,0.954519393,12.39820003,98.79000088,357.6250227,0.002187
0.02,27.20400108,135.0018464,1.202483394,14.37400005,105.9425013,363.5000294,0.002796
0.02,27.4914793,135.002859,1.489963395,16.49285007,113.2125019,356.0000436,0.003509
0.02,27.82133317,135.0042951,1.819820396,18.75710011,120.3325028,171.500055,0.004338
0.02,28.19646988,135.0062871,2.194962398,21.16375017,123.7625039,-11.49993612,0.005292
0.02,28.6197362,135.0089982,2.618237402,23.63900025,123.5325052,-12.87491951,0.006384
0.02,29.09250238,135.0126142,3.091017407,26.10965035,123.2750068,-15.24989871,0.007624
0.02,29.61467402,135.0173379,3.613210414,28.57515048,122.9700088,-14.74987624,0.009018
0.02,30.1861449,135.0233984,4.184713423,31.03455066,122.6750113,-16.99984601,0.010573
0.02,30.80678871,135.0310531,4.805404436,33.48805089,122.3350144,-20.62480347,0.012297
0.02,31.47648183,135.0405892,5.475165454,35.93475117,121.9225183,-16.7497726,0.014198
0.02,32.19508103,135.0523253,6.193860478,38.37320154,121.5875228,-22.7497076,0.016285
0.02,32.96241202,135.0666146,6.961324508,40.804952,121.1325287,-20.37465527,0.018569
0.02,33.77832913,135.0838461,7.777423548,43.22760257,120.7250356,-26.49955939,0.021059
0.02,34.6426357,135.1044469,8.6419756,45.64210328,120.1950444,-22.24949217,0.023767
0.02,35.55515058,135.1288852,9.554817665,48.04600417,119.7500546,-207.1244384,0.026704
0.02,36.51563935,135.1576729,10.51573775,50.44100526,115.6075658,-387.8744273,0.029884
0.02,37.52389658,135.191368,11.52455785,52.75315658,107.8500772,-384.1243985,0.033319
0.02,38.5782331,135.230518,12.57962099,54.91015812,100.1675893,-387.6243039,0.037018
0.02,39.67550918,135.2756331,13.67782415,56.91350991,92.41510319,-378.6243456,0.040985
0.02,40.81260959,135.327225,14.81609435,58.76181197,84.84261628,-383.9992336,0.045222
0.02,41.98638513,135.3858013,15.99133059,60.4586643,77.16263161,-376.624286,0.049733
0.02,43.1937526,135.4518606,17.20050387,62.00191693,69.63014589,-376.4992589,0.054517
0.02,44.43157951,135.525885,18.44054221,63.39451985,62.10016071,-376.6242329,0.059576
0.02,45.69678616,135.6083362,19.70843261,64.63652306,54.56767605,-370.9993213,0.064908
0.02,46.98628774,135.6996473,21.00116307,65.72787658,47.14768962,-365.249451,0.070511
0.02,48.29699258,135.8002174,22.3157206,66.67083037,39.8427006,-368.9994017,0.076383
0.02,49.62584858,135.9104062,23.64913721,67.46768438,32.46271257,-363.6245679,0.082519
0.02,50.9698451,136.0305258,24.99849089,68.11693864,25.19022121,-355.8748287,0.088911
0.02,52.32593767,136.1608327,26.36082967,68.62074306,18.07272464,-361.4997639,0.095553
0.02,53.69112198,136.3015251,27.73324453,68.98219755,10.84272936,-348.5002375,0.102436
0.02,55.06245445,136.4527358,29.11288848,69.19905214,3.872724608,-354.1251918,0.109547
0.02,56.43694662,136.6145221,30.49686952,69.27650663,-3.209779228,-169.5001177,0.116876
0.02,57.81171592,136.786868,31.88239966,69.21231105,-6.599781582,1.875454283,0.124406
0.02,59.18383876,136.9696699,33.26664588,69.08031542,-6.562272496,5.625319341,0.132123
0.02,60.55185905,137.1629481,34.64825218,68.94906997,-6.44976611,5.625304773,0.140016
0.02,61.9156762,137.3668905,36.02723358,68.82007464,-6.337260014,3.750365041,0.148084
0.02,63.27521484,137.5816828,37.40363508,68.69332944,-6.262252713,9.375122365,0.156324
